,Buyer_ID,Personal_Order_Number,Personal_Purchase_Number,Product_ID,Seller_ID,Quantity,Price,Fullfill_Date,Sell_Time
0,351,0,[1 2],3435,216,147,51.72,2020-04-26,14:42:24
1,378,0,[1],1942,240,191,120.81,2020-04-26,14:42:24
2,359,0,[1 2 3 4 5],662,9,18,14.49,2020-04-26,14:42:24
3,486,0,[ 1  2  3  4  5  6  7  8  9 10],922,236,39,35.49,2020-04-26,14:42:24
4,350,1,[1 2],604,140,83,36.99,2020-04-26,14:42:24
5,121,1,[1],983,240,111,24.8,2020-04-26,14:42:24
6,359,1,[1 2 3 4 5],474,345,225,20.84,2020-04-26,14:42:24
7,498,1,[ 1  2  3  4  5  6  7  8  9 10],3794,158,81,107.09,2020-04-26,14:42:24
8,297,2,[1 2],1606,164,222,15.67,2020-04-26,14:42:24
9,389,2,[1],492,121,57,63.66,2020-04-26,14:42:24
10,443,2,[1 2 3 4 5],2304,375,222,470.87,2020-04-26,14:42:24
11,202,2,[ 1  2  3  4  5  6  7  8  9 10],860,98,183,64.31,2020-04-26,14:42:24
12,137,3,[1 2],1545,295,175,51.54,2020-04-26,14:42:24
13,73,3,[1],1526,174,31,6.47,2020-04-26,14:42:24
14,475,3,[1 2 3 4 5],3432,431,65,5.87,2020-04-26,14:42:24
15,26,3,[ 1  2  3  4  5  6  7  8  9 10],3165,393,122,116.88,2020-04-26,14:42:24
16,81,4,[1 2 3],1144,317,191,13.09,2002-11-30,10:50:58
17,382,4,[1 2 3 4 5 6 7 8],487,412,61,91.08,2002-11-30,10:50:58
18,295,4,[ 1  2  3  4  5  6  7  8  9 10 11],1460,93,221,27.54,2002-11-30,10:50:58
19,317,4,[ 1  2  3  4  5  6  7  8  9 10 11],514,461,46,31.31,2002-11-30,10:50:58
20,102,4,[ 1  2  3  4  5  6  7  8  9 10 11 12],2335,236,222,987.22,2002-11-30,10:50:58
21,170,4,[1 2 3 4 5 6 7 8],918,486,80,11.87,2002-11-30,10:50:58
22,308,4,[1 2],2352,152,2,270.91,2002-11-30,10:50:58
23,4,5,[1 2 3],2421,418,225,596.86,2002-11-30,10:50:58
24,304,5,[1 2 3 4 5 6 7 8],426,30,174,60.03,2002-11-30,10:50:58
25,148,5,[ 1  2  3  4  5  6  7  8  9 10 11],3557,268,68,41.0,2002-11-30,10:50:58
26,76,5,[ 1  2  3  4  5  6  7  8  9 10 11],3796,430,202,120.77,2002-11-30,10:50:58
27,71,5,[ 1  2  3  4  5  6  7  8  9 10 11 12],2675,305,168,17.58,2002-11-30,10:50:58
28,228,5,[1 2 3 4 5 6 7 8],3384,53,220,113.42,2002-11-30,10:50:58
29,357,5,[1 2],1928,426,69,53.93,2002-11-30,10:50:58
30,305,6,[1 2 3],1948,97,222,17.1,2002-11-30,10:50:58
31,355,6,[1 2 3 4 5 6 7 8],1916,386,206,22.81,2002-11-30,10:50:58
32,359,6,[ 1  2  3  4  5  6  7  8  9 10 11],2482,49,17,7.78,2002-11-30,10:50:58
33,263,6,[ 1  2  3  4  5  6  7  8  9 10 11],659,283,30,79.3,2002-11-30,10:50:58
34,402,6,[ 1  2  3  4  5  6  7  8  9 10 11 12],2656,143,160,9.49,2002-11-30,10:50:58
35,341,6,[1 2 3 4 5 6 7 8],1788,373,2,14.8,2002-11-30,10:50:58
36,105,6,[1 2],2892,247,59,27.03,2002-11-30,10:50:58
37,162,7,[1 2 3],3333,270,229,90.45,2002-11-30,10:50:58
38,295,7,[1 2 3 4 5 6 7 8],1661,399,159,6.35,2002-11-30,10:50:58
39,495,7,[ 1  2  3  4  5  6  7  8  9 10 11],3483,86,182,15.11,2002-11-30,10:50:58
40,243,7,[ 1  2  3  4  5  6  7  8  9 10 11],1984,407,66,10.86,2002-11-30,10:50:58
41,391,7,[ 1  2  3  4  5  6  7  8  9 10 11 12],2988,454,49,1146.77,2002-11-30,10:50:58
42,404,7,[1 2 3 4 5 6 7 8],1154,353,139,183.62,2002-11-30,10:50:58
43,410,7,[1 2],1803,482,231,22.39,2002-11-30,10:50:58
44,284,8,[1 2 3],2114,42,156,973.33,2002-11-30,10:50:58
45,366,8,[1 2 3 4 5 6 7 8],435,361,102,28.18,2002-11-30,10:50:58
46,458,8,[ 1  2  3  4  5  6  7  8  9 10 11],2727,58,35,39.01,2002-11-30,10:50:58
47,126,8,[ 1  2  3  4  5  6  7  8  9 10 11],1449,47,103,920.81,2002-11-30,10:50:58
48,437,8,[ 1  2  3  4  5  6  7  8  9 10 11 12],892,10,197,11.96,2002-11-30,10:50:58
49,108,8,[1 2 3 4 5 6 7 8],2857,62,6,93.43,2002-11-30,10:50:58
50,437,8,[1 2],3132,374,146,13.06,2002-11-30,10:50:58
51,338,9,[1 2 3],1135,424,127,1876.37,2002-11-30,10:50:58
52,177,9,[1 2 3 4 5 6 7 8],2385,265,126,313.86,2002-11-30,10:50:58
53,190,9,[ 1  2  3  4  5  6  7  8  9 10 11],1626,32,192,5.35,2002-11-30,10:50:58
54,6,9,[ 1  2  3  4  5  6  7  8  9 10 11],3789,372,154,50.39,2002-11-30,10:50:58
55,330,9,[ 1  2  3  4  5  6  7  8  9 10 11 12],71,78,88,13.61,2002-11-30,10:50:58
56,288,9,[1 2 3 4 5 6 7 8],2335,247,15,988.71,2002-11-30,10:50:58
57,109,9,[1 2],1929,342,234,14.41,2002-11-30,10:50:58
58,49,10,[1 2 3],501,46,136,52.48,2002-11-30,10:50:58
59,85,10,[1 2 3 4 5 6 7 8],3809,363,85,216.15,2002-11-30,10:50:58
60,72,10,[ 1  2  3  4  5  6  7  8  9 10 11],3746,109,109,116.55,2002-11-30,10:50:58
61,242,10,[ 1  2  3  4  5  6  7  8  9 10 11],680,129,37,130.32,2002-11-30,10:50:58
62,27,10,[ 1  2  3  4  5  6  7  8  9 10 11 12],972,335,240,46.83,2002-11-30,10:50:58
63,302,10,[1 2 3 4 5 6 7 8],3039,434,27,51.74,2002-11-30,10:50:58
64,232,10,[1 2],1100,167,32,31.43,2002-11-30,10:50:58
65,68,11,[1 2 3 4 5 6 7 8 9],1797,129,198,17.33,2009-08-03,03:29:40
66,192,11,[1 2],15,146,240,33.42,2009-08-03,03:29:40
